suara_presma_sah,alasan_suara_presma_tidak_sah,suara_dpm_sah,alasan_suara_dpm_tidak_sah,waktu,dalam_waktu_pemungutan,nim_hashed,jenis_email,persetujuan,input_fakultas,fakultas_tercatat,terdaftar,fakultas_benar,input_verifikasi_hashed,sumber_verifikasi_hashed,verified,dapil_sesuai,pilihan_presma,pilihan_dpm_fh,pilihan_dpm_feb,pilihan_dpm_fp,pilihan_dpm_ft,pilihan_dpm_fisib,pilihan_dpm_fip,pilihan_dpm_fkis
true,,true,,2020-12-18 11:32:22 +0700 WIB,true,9e9d9a04db75f007c84a2ee2b92b05f8,student,Setuju,FKis,FKis,true,true,d5b2b47a05818d93842a87aa243845e7,d5b2b47a05818d93842a87aa243845e7,true,true,Pasangan calon nomor urut 2,,,,,,,Calon DPM nomor urut 2
true,,true,,2020-12-18 11:34:18 +0700 WIB,true,931db26ab55ca09687e91f3858415987,student,Setuju,FEB,FEB,true,true,272acef6b0a4c7ce8255ad341bfd4d2f,272acef6b0a4c7ce8255ad341bfd4d2f,true,true,Pasangan calon nomor urut 2,,Calon DPM nomor urut 4,,,,,
true,,true,,2020-12-18 08:44:12 +0700 WIB,true,95f8283145f13f96fd64a47270e07862,student,Setuju,FKis,FKis,true,true,03558b8c70cfdc4a782be0668107aaa9,03558b8c70cfdc4a782be0668107aaa9,true,true,Pasangan calon nomor urut 3,,,,,,,Calon DPM nomor urut 2
true,,true,,2020-12-18 08:36:48 +0700 WIB,true,9324aaa9ff2ace2b5a561ab488a830ae,student,Setuju,FT,FT,true,true,365d30ef7cca127197fdf09ac0623351,365d30ef7cca127197fdf09ac0623351,true,true,Pasangan calon nomor urut 3,,,,Calon DPM nomor urut 3,,,
true,,true,,2020-12-18 10:47:31 +0700 WIB,true,06918318cc4ff7db223c4449e28c20e1,student,Setuju,FP,FP,true,true,987116eb0286b8c30fb8257051029c46,987116eb0286b8c30fb8257051029c46,true,true,Pasangan calon nomor urut 2,,,Calon DPM nomor urut 1,,,,
true,,true,,2020-12-18 09:45:58 +0700 WIB,true,17f35d97e038320e96546655daed15ac,student,Setuju,FKis,FKis,true,true,56af289208d92148caa7932799db8f7d,56af289208d92148caa7932799db8f7d,true,true,Pasangan calon nomor urut 3,,,,,,,Calon DPM nomor urut 3
true,,true,,2020-12-18 11:41:23 +0700 WIB,true,13138fcad621a4d3e9909f0d6534619e,student,Setuju,FP,FP,true,true,9ef439a9d977415dac4448ce41b7ad1a,9ef439a9d977415dac4448ce41b7ad1a,true,true,Pasangan calon nomor urut 1,,,Calon DPM nomor urut 1,,,,
true,,true,,2020-12-18 12:36:44 +0700 WIB,true,5863b8091317be307de7373fb4e36925,student,Setuju,FISIB,FISIB,true,true,e2f875f78f82546a1cd96f3d7d5237a1,e2f875f78f82546a1cd96f3d7d5237a1,true,true,Pasangan calon nomor urut 3,,,,,Calon DPM nomor urut 3,,
true,,true,,2020-12-18 12:19:34 +0700 WIB,true,d6fcbe140c4956345cd9e8432a8f98dd,student,Setuju,FT,FT,true,true,03558b8c70cfdc4a782be0668107aaa9,03558b8c70cfdc4a782be0668107aaa9,true,true,Pasangan calon nomor urut 3,,,,Calon DPM nomor urut 3,,,
true,,true,,2020-12-18 12:23:40 +0700 WIB,true,3f808b502dca222779028da982581e1c,student,Setuju,FISIB,FISIB,true,true,1b0da9b7d8622c2bf0b0ffb3167b3069,1b0da9b7d8622c2bf0b0ffb3167b3069,true,true,Pasangan calon nomor urut 2,,,,,Calon DPM nomor urut 2,,
